label,freq,avg,max,min
0,69,172.46376811594203,285,112
1,67,104.23880597014926,179,21
2,74,179.66216216216216,278,117
3,94,205.95744680851064,352,21
4,88,196.32954545454547,317,126
5,93,190.72043010752688,293,109
6,95,166.61052631578949,252,92
7,106,130.9811320754717,226,64
8,87,237.91954022988506,356,149
9,119,160.4033613445378,292,104
A,120,245.04166666666666,417,149
B,131,233.14503816793894,390,3
C,146,127.37671232876713,334,61
D,126,203.67460317460316,396,118
E,120,265.85833333333335,572,142
F,128,203.4140625,439,107
G,121,261.78512396694214,464,168
H,124,245.06451612903226,451,148
I,131,229.26717557251908,454,99
J,130,196.19230769230768,367,118
K,140,238.82142857142858,428,118
L,134,122.98507462686567,227,52
M,139,202.41007194244605,324,29
N,149,164.93288590604027,356,99
O,169,161.76331360946745,278,86
P,148,158.53378378378378,334,86
Q,133,213.0375939849624,396,140
R,146,191.4794520547945,325,111
S,147,153.59183673469389,267,97
T,133,152.00751879699249,242,79
U,143,135.5874125874126,293,67
V,141,107.8581560283688,239,46
W,144,183.69444444444446,328,100
X,146,189.05479452054794,3900,70
Y,147,175.47619047619048,332,76
Z,157,175.94267515923568,367,79
